,accounts_payable,accounts_receivable,addl_income_expense_items,after_tax_roe,capital_expenditures,capital_surplus,cash_and_cash_equivalents,changes_in_inventories,common_stocks,cost_of_revenue,deferred_asset_charges,deferred_liability_charges,depreciation,effect_of_exchange_rate,equity_earnings_loss_unconsolidated_subsidiary,fixed_assets,goodwill,gross_profit,income_tax,intangible_assets,interest_expense,inventory,investments,liabilities,long_term_debt,long_term_investments,minority_interest,net_borrowings,net_cash_flow_operating,net_cash_flows_financing,net_cash_flows_investing,net_receivables,non_recurring_items,operating_income,other_assets,other_current_assets,other_current_liabilities,other_equity,other_financing_activities,other_investing_activities,other_liabilities,other_operating_activities,other_operating_items,pre_tax_roe,research_and_development,sales_general_and_admin,short_term_debt_current_portion_of_long_term_debt,short_term_investments,total_assets,total_current_assets,total_equity,total_liabilities,total_revenue,net_income
count,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0,1424.0
mean,4735318990.870787,-51434003.51123595,69013870.78651686,44.70224719101124,-1278486835.6741574,5582027314.606742,9069437507.72472,-62237860.95505618,1777872593.3988764,11675767957.162922,627424645.3651686,1654768425.5617979,1091492367.275281,-36921296.348314606,90862887.64044943,8785265773.174158,4004439031.601124,7111110735.955056,680312820.9269663,1985133584.97191,334187638.3426966,1412060667.8370786,-1163793126.4044943,198397580.05617976,8605525179.77528,25175253740.870785,427851103.9325843,575570288.6235955,3321380485.955056,-343501220.505618,-2864956589.8876405,3246056952.949438,225620523.1741573,2301297328.651685,5418822337.780899,604827601.8258427,16127660819.522472,-621911794.241573,528879422.752809,-397248620.78651685,10154402995.08427,-60309865.16853932,862985488.0617977,61.451544943820224,359918917.1348315,3939508447.3314605,3205644032.303371,1159050441.713483,58854563311.79775,6659659347.61236,12270650103.230337,46567078864.46629,19640414346.91011,1744167131.3202248
std,14332032928.377636,790354180.6109513,666701305.4146487,250.46786824612636,3026310819.5129714,11509403403.001312,57401450064.34807,392758971.54201216,10064808317.519754,26801774351.077427,2873639824.1575017,4585797060.347586,2114542519.835921,167177944.32463053,753236711.0700277,19069510279.900402,8232268336.931618,13116712520.668596,1867637104.4683003,7020971206.958588,1092123829.0746121,3429977358.065971,8786247437.68856,2473320358.0457106,27206098600.271637,146282550598.55066,3290141647.5798683,5554890298.922452,7394951252.691272,9712744606.243269,11039847495.67834,7791280415.219589,1292068479.975404,5156461487.534507,27461076801.173935,1420744960.4334693,113555813469.77821,2926148366.127039,7007979040.065132,3131699476.4857745,59162347803.90724,2591957425.43592,2859550440.5504837,356.05613849121335,1283288307.7487125,8542874191.406709,22116367509.346172,6079169692.913324,212357102176.89917,13616930371.54458,26610881236.76232,189811245616.05978,37008775395.15551,4120869267.6282187
min,0.0,-6452000000.0,-6768000000.0,0.0,-37985000000.0,-721500000.0,21000.0,-5562000000.0,0.0,0.0,0.0,0.0,-448000000.0,-3067000000.0,-1633000000.0,0.0,0.0,-132000000.0,-6065000000.0,0.0,0.0,0.0,-165094000000.0,-40168000000.0,0.0,0.0,-105000000.0,-99088000000.0,-16056000000.0,-187511000000.0,-165636000000.0,0.0,-2523900000.0,-20727000000.0,0.0,0.0,0.0,-29607000000.0,-95036000000.0,-55945000000.0,0.0,-33666000000.0,-87159000.0,0.0,0.0,-487000000.0,0.0,0.0,2705000.0,0.0,-12688000000.0,2577000.0,1514000.0,-14685000000.0
25%,507815000.0,-104100000.0,-2898750.0,10.0,-1163244250.0,496597500.0,290397000.0,-53775000.0,1671000.0,1195135750.0,0.0,0.0,180903250.0,-20627250.0,0.0,588100000.0,90050000.0,1587292750.0,104918750.0,0.0,28964250.0,0.0,-226085000.0,-54883000.0,1126393000.0,0.0,0.0,-84100000.0,669357500.0,-1073500000.0,-2321599000.0,444066000.0,0.0,528053500.0,107413500.0,50364500.0,0.0,-571000000.0,-19000000.0,-246396000.0,182130000.0,-88119250.0,0.0,13.0,0.0,567125000.0,4000000.0,0.0,6675591500.0,1040381750.0,2241000000.0,3853624000.0,3728080250.0,351950000.0
50%,1349669000.0,-19000000.0,2000000.0,16.0,-355100000.0,2131955000.0,861000000.0,0.0,7950000.0,3753000000.0,0.0,221000000.0,426800500.0,-514500.0,0.0,2187300000.0,1288090000.0,2989850000.0,268215500.0,312993000.0,123876500.0,381850000.0,-1289000.0,26714500.0,3401250000.0,96960500.0,1400000.0,86100000.0,1241739000.0,-363804000.0,-763257000.0,1087350000.0,0.0,1036700000.0,415726500.0,178456000.0,141668000.0,-101021000.0,0.0,-11097000.0,731999500.0,-9338000.0,75000000.0,22.0,0.0,1334150000.0,223905500.0,0.0,15248000000.0,2741600000.0,5016234500.0,9315208000.0,8130500000.0,691760000.0
75%,3259617000.0,7546000.0,33000000.0,26.0,-127474250.0,6131650000.0,2304750000.0,0.0,323338000.0,9831625500.0,137997750.0,1151750000.0,1099427500.0,0.0,0.0,9856250000.0,4059500000.0,6997750000.0,612000000.0,1438867250.0,328000000.0,1473975000.0,8010750.0,170000000.0,8012750000.0,1553250000.0,88038750.0,814150000.0,3061040000.0,131637000.0,-256950000.0,2386604500.0,45715750.0,2264750000.0,1433250000.0,558000000.0,897129500.0,0.0,0.0,58700000.0,2652200000.0,28030750.0,628143250.0,36.0,56331750.0,3471225000.0,985540250.0,244872500.0,36945971000.0,6162500000.0,11368500000.0,24449864750.0,17639225000.0,1711000000.0
max,206939000000.0,22664000000.0,14162000000.0,5789.0,5000000.0,107979000000.0,728111000000.0,3755000000.0,158142000000.0,352297000000.0,36860000000.0,56181000000.0,22016000000.0,1160000000.0,15010000000.0,252668000000.0,104568000000.0,149453000000.0,31045000000.0,120710000000.0,20612000000.0,47257000000.0,38348000000.0,37103000000.0,429194000000.0,1652057000000.0,63191000000.0,49707000000.0,92817000000.0,118228000000.0,106980000000.0,92819000000.0,20898000000.0,71230000000.0,325570000000.0,18096000000.0,1363427000000.0,33535000000.0,89637000000.0,11602000000.0,766245000000.0,53389000000.0,54872000000.0,9089.0,12740000000.0,88629000000.0,323990000000.0,106730000000.0,2572274000000.0,139660000000.0,256205000000.0,2340547000000.0,468651000000.0,53394000000.0
